protein_id	subject_id	percent_identity	alignment_length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	subject_title	rank
TRINITY_DN100_c0_g1_i1.p1	YBL072C	100	200	0	0	1	200	1	200	8.07e-140	386	YBL072C RPS8A SGDID:S000000168, Chr II from 89125-88523, Genome Release 64-4-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8, no bacterial homolog; RPS8A has a paralog, RPS8B, that arose from the whole genome duplication"	1
TRINITY_DN1010_c0_g1_i1.p1	YKR029C	100	172	0	0	1	172	326	497	2.10e-122	360	YKR029C SET3 SGDID:S000001737, Chr XI from 499833-497578, Genome Release 64-4-1, reverse complement, Verified ORF, "Defining member of the SET3 histone deacetylase complex; which is a meiosis-specific repressor of sporulation genes; necessary for efficient transcription by RNAPII; one of two yeast proteins that contains both SET and PHD domains; SET3 has a paralog, SET4, that arose from the whole genome duplication"	1
TRINITY_DN1011_c0_g1_i1.p1	YPL140C	100	47	0	0	1	47	1	47	1.55e-26	98.2	YPL140C MKK2 SGDID:S000006061, Chr XVI from 289034-287514, Genome Release 64-4-1, reverse complement, Verified ORF, "MAPKK involved in the protein kinase C signaling pathway; involved in control of cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk1p; MKK2 has a paralog, MKK1, that arose from the whole genome duplication"	1
TRINITY_DN1013_c0_g1_i1.p1	YBL010C	100	157	0	0	1	157	17	173	1.58e-109	311	YBL010C LAA2 SGDID:S000000106, Chr II from 206949-206107, Genome Release 64-4-1, reverse complement, Verified ORF, "Clathrin adaptor (adaptin) accessory protein; physically interacts with and is involved in localization of clathrin adaptor protein complex-1 (AP-1); green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles"	1
TRINITY_DN1014_c0_g1_i1.p1	YGR289C	100	292	0	0	1	292	21	312	1.64e-207	578	YGR289C MAL11 SGDID:S000003521, Chr VII from 1075813-1073963, Genome Release 64-4-1, reverse complement, Verified ORF, "High-affinity maltose transporter (alpha-glucoside transporter); inducible; encoded in the MAL1 complex locus; broad substrate specificity that includes maltotriose; required for isomaltose utilization"	1
TRINITY_DN1015_c0_g1_i1.p1	YJR137C	100	617	0	0	1	617	826	1442	0.0	1273	YJR137C MET5 SGDID:S000003898, Chr X from 683285-678957, Genome Release 64-4-1, reverse complement, Verified ORF, "Sulfite reductase beta subunit; involved in amino acid biosynthesis, transcription repressed by methionine"	1
TRINITY_DN1016_c0_g1_i1.p1	YLL031C	100	258	0	0	1	258	760	1017	3.97e-176	509	YLL031C GPI13 SGDID:S000003954, Chr XII from 80205-77152, Genome Release 64-4-1, reverse complement, Verified ORF, "ER membrane localized phosphoryltransferase; adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinositol (GPI) anchor precursor; similar to human PIG-O protein"	1
TRINITY_DN1018_c0_g1_i1.p1	YLL043W	100	593	0	0	26	618	77	669	0.0	1109	YLL043W FPS1 SGDID:S000003966, Chr XII from 49938-51947, Genome Release 64-4-1, Verified ORF, "Aquaglyceroporin, plasma membrane channel; involved in efflux of glycerol and xylitol, and in transport of acetate, arsenite, and antimonite; key factor in maintaining redox balance by mediating passive diffusion of glycerol; phosphorylated by Hog1p and Slt2p MAPK; deletion improves xylose fermentation; regulated by Rgc1p and Ask10p, which are regulated by Hog1p phosphorylation under osmotic stress; phosphorylation by Ypk1p required to maintain an open state"	1
TRINITY_DN1019_c0_g1_i1.p2	YMR049C	100	99	0	0	1	99	203	301	9.99e-58	187	YMR049C ERB1 SGDID:S000004652, Chr XIII from 370517-368094, Genome Release 64-4-1, reverse complement, Verified ORF, "Constituent of 66S pre-ribosomal particles; forms a complex with Nop7p and Ytm1p that is required for maturation of the large ribosomal subunit; required for maturation of the 25S and 5.8S ribosomal RNAs; binds RNA via its C-terminal domain; homologous to mammalian Bop1"	1
TRINITY_DN1019_c1_g1_i1.p1	YMR049C	100	109	0	0	1	109	301	409	3.36e-71	224	YMR049C ERB1 SGDID:S000004652, Chr XIII from 370517-368094, Genome Release 64-4-1, reverse complement, Verified ORF, "Constituent of 66S pre-ribosomal particles; forms a complex with Nop7p and Ytm1p that is required for maturation of the large ribosomal subunit; required for maturation of the 25S and 5.8S ribosomal RNAs; binds RNA via its C-terminal domain; homologous to mammalian Bop1"	1
TRINITY_DN101_c0_g1_i1.p1	YIL052C	100	121	0	0	1	121	1	121	2.44e-80	229	YIL052C RPL34B SGDID:S000001314, Chr IX from 256554-256226,257063-257027, Genome Release 64-4-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L34B; homologous to mammalian ribosomal protein L34, no bacterial homolog; RPL34B has a paralog, RPL34A, that arose from the whole genome duplication"	1
TRINITY_DN1020_c0_g1_i1.p1	YNL313C	100	162	0	0	1	162	743	904	3.24e-114	342	YNL313C EMW1 SGDID:S000005257, Chr XIV from 48022-45308, Genome Release 64-4-1, reverse complement, Verified ORF, "Essential conserved protein with a role in cell wall integrity; contains six TPR (tetratricopeptide repeat) domains clustered in the C-terminal region; conditional mutant is suppressed by overexpression of GFA1; protein abundance increases in response to DNA replication stress"	1
TRINITY_DN1021_c0_g1_i1.p1	YLR032W	100	125	0	0	1	125	1045	1169	2.78e-76	242	YLR032W RAD5 SGDID:S000004022, Chr XII from 204991-208500, Genome Release 64-4-1, Verified ORF, "DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT), replication fork regression during postreplication repair by template switching, and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant"	1
TRINITY_DN1022_c0_g1_i1.p1	YOR126C	100	238	0	0	1	238	1	238	1.44e-179	490	YOR126C IAH1 SGDID:S000005652, Chr XV from 560677-559961, Genome Release 64-4-1, reverse complement, Verified ORF, "Isoamyl acetate-hydrolyzing esterase; required in balance with alcohol acetyltransferase to maintain optimal amounts of isoamyl acetate, which is particularly important in sake brewing"	1
TRINITY_DN1023_c0_g1_i1.p1	YOR246C	100	330	0	0	1	330	1	330	1.31e-253	685	YOR246C ENV9 SGDID:S000005772, Chr XV from 796793-795801, Genome Release 64-4-1, reverse complement, Verified ORF, "Conserved oxidoreductase involved in lipid droplet morphology; mutant shows defects in CPY processing and vacuolar morphology; required for replication of Brome mosaic virus in S. cerevisiae, a model system for studying replication of positive-strand RNA viruses in their natural hosts; homologus to human RDH12 linked to Leber Congenital Amaurosis"	1
TRINITY_DN1026_c0_g1_i1.p1	YPL184C	99.8	584	1	0	12	595	29	612	0.0	1157	YPL184C MRN1 SGDID:S000006105, Chr XVI from 197788-195950, Genome Release 64-4-1, reverse complement, Verified ORF, "mRNA-binding protein; binds to the 3'UTR of cell wall-related mRNAs and destabilizes these mRNAs during stress, acting antagonistically to Nab6p; links cell wall homeostasis to mitochondrial structure and function; binds specific categories of mRNAs, including those that contain upstream open reading frames (uORFs) and internal ribosome entry sites (IRES); interacts genetically with chromatin remodelers and splicing factors, linking chromatin state, splicing and as a result mRNA maturation"	1
TRINITY_DN1027_c0_g1_i1.p1	YKR063C	100	148	0	0	1	148	49	196	5.04e-100	294	YKR063C LAS1 SGDID:S000001771, Chr XI from 562297-560789, Genome Release 64-4-1, reverse complement, Verified ORF, "Endonuclease involved in pre-rRNA processing at both ends of ITS2; functions with Grc3p in a conserved mechanism to cleave pre-rRNA at a specific site during rRNA processing and ribosome biogenesis; may coordinate the action of the Rat1p-Rai1p exoRNAse; required for the G1/S cell cycle transition; human ortholog is Las1L; mutants require the SSD1-v allele for viability"	1
TRINITY_DN1028_c0_g1_i1.p1	YJR036C	100	87	0	0	1	87	689	775	6.72e-57	185	YJR036C HUL4 SGDID:S000003797, Chr X from 503391-500713, Genome Release 64-4-1, reverse complement, Verified ORF, "Protein with similarity to hect domain E3 ubiquitin-protein ligases; not essential for viability; found in association with Trf4 in TRAMP complex"	1
TRINITY_DN1029_c0_g1_i1.p1	YJL109C	100	71	0	0	1	71	873	943	3.86e-40	137	YJL109C UTP10 SGDID:S000003645, Chr X from 217309-212000, Genome Release 64-4-1, reverse complement, Verified ORF, "Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA; mutant has increased aneuploidy tolerance"	1
TRINITY_DN102_c0_g1_i1.p1	YLR325C	100	78	0	0	1	78	1	78	4.80e-49	147	YLR325C RPL38 SGDID:S000004317, Chr XII from 781379-781143, Genome Release 64-4-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L38; homologous to mammalian ribosomal protein L38, no bacterial homolog"	1
TRINITY_DN1030_c0_g1_i1.p1	YDR051C	100	334	0	0	1	334	1	334	1.60e-256	692	YDR051C DET1 SGDID:S000002458, Chr IV from 558060-557056, Genome Release 64-4-1, reverse complement, Verified ORF, "Acid phosphatase; involved in the non-vesicular transport of sterols in both directions between the endoplasmic reticulum and plasma membrane; deletion confers sensitivity to nickel"	1
TRINITY_DN1031_c0_g1_i1.p1	YPL092W	99.7	370	1	0	1	370	89	458	7.09e-270	733	YPL092W SSU1 SGDID:S000006013, Chr XVI from 373793-375169, Genome Release 64-4-1, Verified ORF, "Plasma membrane sulfite pump involved in sulfite metabolism; required for efficient sulfite efflux; major facilitator superfamily protein"	1
TRINITY_DN1032_c0_g1_i1.p1	YDR295C	100	377	0	0	1	377	298	674	1.02e-255	706	YDR295C HDA2 SGDID:S000002703, Chr IV from 1054647-1052623, Genome Release 64-4-1, reverse complement, Verified ORF, "Subunit of HDA1 histone deacetylase complex; tetrameric trichostatin A-sensitive class II histone deacetylase complex contains Hda1p homodimer and an Hda2p-Hda3p heterodimer; involved in telomere maintenance; Hda2p relocalizes to cytosol in response to hypoxia; other members of the HDA1 histone deacetylase complex, which regulates aging through trehalose metabolism, are Hda1p and Hda3p"	1
TRINITY_DN1033_c0_g1_i1.p1	YDR529C	100	127	0	0	22	148	1	127	1.49e-87	249	YDR529C QCR7 SGDID:S000002937, Chr IV from 1496548-1496165, Genome Release 64-4-1, reverse complement, Verified ORF, "Subunit 7 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the mitochondrial matrix; N-terminus appears to play a role in complex assembly"	1
TRINITY_DN1034_c0_g1_i1.p1	YDR128W	100	242	0	0	2	243	511	752	4.29e-163	479	YDR128W MTC5 SGDID:S000002535, Chr IV from 709549-712995, Genome Release 64-4-1, Verified ORF, "Subunit of SEACAT, a subcomplex of the SEA complex; Mtc1p, along with Rtc1p and Sea4p, redundantly inhibit the TORC1 inhibitory role of the Iml1p/SEACIT (Iml1p-Npr2p-Npr3p) subcomplex, a GAP for GTPase Gtr1p (EGOC subunit) in response to amino acid limitation, thereby resulting in activation of TORC1 signaling; SEA is a coatomer-related complex that associates dynamically with the vacuole; relative distribution to the vacuolar membrane decreases upon DNA replication stress"	1
TRINITY_DN1035_c0_g1_i1.p1	YOR226C	100	156	0	0	1	156	1	156	1.09e-111	311	YOR226C ISU2 SGDID:S000005752, Chr XV from 762084-761614, Genome Release 64-4-1, reverse complement, Verified ORF, "Mitochondrial protein required for iron-sulfur protein synthesis; performs scaffolding function during Fe/S cluster assembly; involved in Fe-S cluster assembly for both mitochondrial and cytosolic proteins; protein abundance increases under DNA replication stress; ISU2 has a paralog, ISU1, that arose from the whole genome duplication; isu1 isu2 double mutant is inviable; human homolog ISCU implicated in mitochondrial myopathy, can complement isu1 isu2 double mutant"	1
TRINITY_DN1036_c0_g1_i1.p1	YER066W	100	126	0	0	1	126	60	185	7.40e-88	251	YER066W RRT13 SGDID:S000000868, Chr V from 290242-290799, Genome Release 64-4-1, Uncharacterized ORF, "Putative protein of unknown function; non-essential gene identified in a screen for mutants with decreased levels of rDNA transcription"	1
TRINITY_DN1037_c0_g1_i1.p1	YGL125W	99.8	490	1	0	1	490	111	600	0.0	1019	YGL125W MET13 SGDID:S000003093, Chr VII from 272520-274322, Genome Release 64-4-1, Verified ORF, "Major isozyme of methylenetetrahydrofolate reductase; catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway"	1
TRINITY_DN1039_c0_g1_i1.p1	YNR034W-A	100	98	0	0	15	112	1	98	7.44e-68	197	YNR034W-A EGO4 SGDID:S000007525, Chr XIV from 692561-692857, Genome Release 64-4-1, Verified ORF, "Protein of unknown function; expressed during diauxic shift and stationary phase, and negatively regulated by glucose; expression is regulated by Msn2p/Msn4p; overexpression slows down progression through meiosis and improves fermentative efficiency; YNR034W-A has a paralog, YCR075W-A, that arose from the whole genome duplication"	1
TRINITY_DN103_c0_g1_i1.p1	YML124C	100	445	0	0	7	451	1	445	0.0	905	YML124C TUB3 SGDID:S000004593, Chr XIII from 23360-22048,23683-23659, Genome Release 64-4-1, reverse complement, Verified ORF, "Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; expressed at lower level than Tub1p; TUB3 has a paralog, TUB1, that arose from the whole genome duplication"	1
TRINITY_DN103_c1_g1_i1.p1	YML085C	99.8	408	1	0	1	408	1	408	1.24e-309	835	YML085C TUB1 SGDID:S000004550, Chr XIII from 99259-97941,99400-99376, Genome Release 64-4-1, reverse complement, Verified ORF, "Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog, TUB3, that arose from the whole genome duplication"	1
TRINITY_DN1040_c0_g1_i1.p1	YNL297C	100	86	0	0	1	86	1019	1104	4.00e-57	186	YNL297C MON2 SGDID:S000005241, Chr XIV from 76583-71673, Genome Release 64-4-1, reverse complement, Verified ORF, "Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins"	1
TRINITY_DN1041_c0_g1_i1.p1	YNL051W	100	180	0	0	1	180	31	210	1.16e-119	342	YNL051W COG5 SGDID:S000004996, Chr XIV from 532659-533870, Genome Release 64-4-1, Verified ORF, "Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"	1
TRINITY_DN1042_c0_g1_i1.p1	YDR052C	100	693	0	0	1	693	12	704	0.0	1258	YDR052C DBF4 SGDID:S000002459, Chr IV from 560625-558511, Genome Release 64-4-1, reverse complement, Verified ORF, "Regulatory subunit of Cdc7p-Dbf4p kinase complex; required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated; relative distribution to the nucleus increases upon DNA replication stress; co-expression of human CDC7 and DBF4 complements single cdc7 or dbf4 null mutations or the cdc7 dbf4 double null mutation"	1
TRINITY_DN1044_c0_g1_i1.p1	YMR266W	100	195	0	0	1	195	76	270	3.54e-129	384	YMR266W RSN1 SGDID:S000004879, Chr XIII from 798518-801379, Genome Release 64-4-1, Verified ORF, "Membrane protein of unknown function; overexpression suppresses NaCl sensitivity of sro7 mutant cells by restoring sodium pump (Ena1p) localization to the plasma membrane"	1
TRINITY_DN1045_c0_g1_i1.p1	YFR002W	100	564	0	0	2	565	276	839	0.0	1093	YFR002W NIC96 SGDID:S000001898, Chr VI from 150016-152535, Genome Release 64-4-1, Verified ORF, "Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC nuclear basket; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associations with three FG-nucleoporins (Nsp1p, Nup57p, and Nup49p)"	1
TRINITY_DN1046_c0_g1_i1.p1	YOR211C	100	225	0	0	1	225	99	323	8.00e-134	395	YOR211C MGM1 SGDID:S000005737, Chr XV from 741569-738924, Genome Release 64-4-1, reverse complement, Verified ORF, "Mitochondrial GTPase, present in complex with Ugo1p and Fzo1p; required for mitochondrial morphology, fusion, and genome maintenance; promotes membrane bending; plays a direct role in formation and maintenance of lamellar, but not of tubular, cristae; exists as long and short form with different distributions; ratio of long to short forms is regulated by Psd1p; homolog of human OPA1 involved in autosomal dominant optic atrophy"	1
TRINITY_DN1048_c0_g1_i1.p1	YMR162C	99.0	101	1	0	1	101	72	172	1.16e-64	208	YMR162C DNF3 SGDID:S000004772, Chr XIII from 583921-578951, Genome Release 64-4-1, reverse complement, Verified ORF, "Trans-golgi network aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to the maintenance of membrane lipid asymmetry in post-Golgi secretory vesicles; role in protein trafficking between the Golgi and endosomal system; localizes to the trans-Golgi network; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone"	1
TRINITY_DN1049_c0_g1_i1.p1	YML059C	100	357	0	0	1	357	1095	1451	9.77e-244	707	YML059C NTE1 SGDID:S000004524, Chr XIII from 158258-153219, Genome Release 64-4-1, reverse complement, Verified ORF, "Serine esterase; homolog of human neuropathy target esterase (NTE); Nte1p-mediated phosphatidylcholine turnover influences transcription factor Opi1p localization, affecting transcriptional regulation of phospholipid biosynthesis genes"	1
TRINITY_DN104_c0_g1_i1.p1	YNL054W-B	99.1	107	1	0	1	107	1056	1162	5.40e-62	201	YNL054W-B YNL054W-B SGDID:S000007385, Chr XIV from 519456-520760,520762-524706, Genome Release 64-4-1, transposable_element_gene, "TyB Gag-Pol protein; proteolytically processed to make the Gag, reverse transcriptase (RT), protease (PR), and integrase (IN) proteins that are required for retrotransposition"	1
TRINITY_DN1050_c0_g1_i1.p1	YGL016W	100	75	0	0	1	75	842	916	2.46e-47	157	YGL016W KAP122 SGDID:S000002984, Chr VII from 461666-464911, Genome Release 64-4-1, Verified ORF, "Karyopherin beta; bidirectional nuclear transport receptor (biportin) that shuttles distinct sets of cargoes in opposite directions; responsible for import of Toa1p-Toa2p complex into nucleus; depletes eIF5A and eEF2 from cell nuclei; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance"	1
TRINITY_DN1051_c0_g1_i1.p1	YCL054W	100	600	0	0	1	600	242	841	0.0	1042	YCL054W SPB1 SGDID:S000000559, Chr III from 31449-33974, Genome Release 64-4-1, Verified ORF, "AdoMet-dependent methyltransferase; involved in rRNA processing and 60S ribosomal subunit maturation; methylates G2922 in the tRNA docking site of the large subunit rRNA and in the absence of snR52, U2921; suppressor of PAB1 mutants"	1
TRINITY_DN1052_c0_g1_i1.p1	YDR511W	100	133	0	0	1	133	1	133	7.85e-94	265	YDR511W SDH7 SGDID:S000002919, Chr IV from 1470017-1470418, Genome Release 64-4-1, Verified ORF, "Mitochondrial protein involved in assembly of succinate dehydrogenase; has a role in maturation of the Sdh2p subunit; localized to the mitochondrial intermembrane space; required for acetate utilization and gluconeogenesis; mutation in Drosophila ortholog SDHAF3 causes reduced succinate dehydrogenase activity and neuronal and muscular dysfunction; member of the LYR protein family"	1
TRINITY_DN1053_c0_g1_i1.p1	YKR082W	100	71	0	0	1	71	681	751	1.36e-44	149	YKR082W NUP133 SGDID:S000001790, Chr XI from 592825-596298, Genome Release 64-4-1, Verified ORF, "Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133"	1
TRINITY_DN1054_c0_g1_i1.p1	YDR213W	100	402	0	0	1	402	492	893	2.87e-277	771	YDR213W UPC2 SGDID:S000002621, Chr IV from 889751-892492, Genome Release 64-4-1, Verified ORF, "Sterol regulatory element binding protein; induces sterol biosynthetic genes, upon sterol depletion; acts as a sterol sensor, binding ergosterol in sterol rich conditions; relocates from intracellular membranes to perinuclear foci upon sterol depletion; redundant activator of filamentation with ECM22, up-regulating the expression of filamentous growth genes; contains a Zn[2]-Cys[6] binuclear cluster; UPC2 has a paralog, ECM22, that arose from the whole genome duplication"	1
TRINITY_DN1055_c0_g1_i1.p1	YKL010C	100	134	0	0	1	134	788	921	4.97e-84	265	YKL010C UFD4 SGDID:S000001493, Chr XI from 425875-421424, Genome Release 64-4-1, reverse complement, Verified ORF, "Ubiquitin-protein ligase (E3); interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; involved in K29-linked ubiquitin-dependent protein catabolism, including ubiquitin fusion proteins; relative distribution to the nucleus increases upon DNA replication stress"	1
TRINITY_DN1056_c0_g1_i1.p1	YMR172W	100	149	0	0	1	149	190	338	1.04e-91	278	YMR172W HOT1 SGDID:S000004783, Chr XIII from 605981-608140, Genome Release 64-4-1, Verified ORF, "Transcription factor for glycerol biosynthetic genes; required for the transient induction of glycerol biosynthetic genes GPD1 and GPP2 in response to high osmolarity; targets Hog1p to osmostress responsive promoters; has similarity to Msn1p and Gcr1p"	1
TRINITY_DN1057_c0_g1_i1.p1	YHR084W	100	58	0	0	1	58	1	58	6.83e-32	112	YHR084W STE12 SGDID:S000001126, Chr VIII from 274174-276240, Genome Release 64-4-1, Verified ORF, "Transcription factor that is activated by a MAPK signaling cascade; activates genes involved in mating or pseudohyphal/invasive growth pathways; cooperates with Tec1p transcription factor to regulate genes specific for invasive growth"	1
TRINITY_DN1058_c0_g1_i1.p1	YPR188C	100	163	0	0	1	163	1	163	7.00e-116	323	YPR188C MLC2 SGDID:S000006392, Chr XVI from 912479-911988, Genome Release 64-4-1, reverse complement, Verified ORF, "Regulatory light chain for the type II myosin Myo1p; binds to an IQ motif of Myo1p, localization to the bud neck depends on Myo1p; involved in the disassembly of the Myo1p ring"	1
TRINITY_DN1059_c0_g1_i1.p1	YDL220C	100	232	0	0	1	232	693	924	6.45e-159	461	YDL220C CDC13 SGDID:S000002379, Chr IV from 65018-62244, Genome Release 64-4-1, reverse complement, Verified ORF, "Single stranded DNA-binding protein found at TG1-3 telomere G-tails; key roles in regulation of telomerase, telomere end protection, conventional telomere replication; regulates telomere replication through recruitment of specific sub-complexes, essential function is telomere capping; forms homodimer via N-terminus; disruption of dimerization leads to short telomeres; autophagy and proteasome are involved in Cdc13p degradation; differentially phosphorylated through cell cycle"	1
TRINITY_DN105_c0_g1_i1.p1	YJL136C	100	87	0	0	1	87	1	87	9.74e-62	180	YJL136C RPS21B SGDID:S000003672, Chr X from 156789-156550,157273-157250, Genome Release 64-4-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S21, no bacterial homolog; RPS21B has a paralog, RPS21A, that arose from the whole genome duplication"	1
TRINITY_DN105_c0_g1_i2.p1	YJL136C	100	87	0	0	1	87	1	87	9.74e-62	180	YJL136C RPS21B SGDID:S000003672, Chr X from 156789-156550,157273-157250, Genome Release 64-4-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S21, no bacterial homolog; RPS21B has a paralog, RPS21A, that arose from the whole genome duplication"	1
TRINITY_DN105_c0_g1_i3.p1	YKR057W	100	87	0	0	1	87	1	87	6.85e-62	180	YKR057W RPS21A SGDID:S000001765, Chr XI from 551657-551680,552003-552242, Genome Release 64-4-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S21, no bacterial homolog; RPS21A has a paralog, RPS21B, that arose from the whole genome duplication"	1
TRINITY_DN1060_c0_g1_i1.p1	YOR211C	100	398	0	0	1	398	484	881	1.54e-273	760	YOR211C MGM1 SGDID:S000005737, Chr XV from 741569-738924, Genome Release 64-4-1, reverse complement, Verified ORF, "Mitochondrial GTPase, present in complex with Ugo1p and Fzo1p; required for mitochondrial morphology, fusion, and genome maintenance; promotes membrane bending; plays a direct role in formation and maintenance of lamellar, but not of tubular, cristae; exists as long and short form with different distributions; ratio of long to short forms is regulated by Psd1p; homolog of human OPA1 involved in autosomal dominant optic atrophy"	1
